File: airs-bp
Type: alloc_objects
Time: Aug 26, 2023 at 7:15pm (UTC)
Showing nodes accounting for 6802207, 85.28% of 7975890 total
Dropped 397 nodes (cum <= 39879)
      flat  flat%   sum%        cum   cum%
         0     0% 85.28%      91282  1.14%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQNameID
         0     0% 85.28%     114689  1.44%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validDocument (inline)
         0     0% 85.28%     114689  1.44%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElement
         0     0% 85.28%      98305  1.23%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers.func2
         0     0% 85.28%      81921  1.03%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRecord
         0     0% 85.28%      54614  0.68%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEvent
         0     0% 85.28%     114689  1.44%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validObject
         0     0% 85.28%      81921  1.03%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validViewValue
         0     0% 85.28%     119550  1.50%  github.com/voedger/voedger/pkg/istructsmem.(*valueType).Build
         0     0% 85.28%      84205  1.06%  github.com/voedger/voedger/pkg/istructsmem.FillElementFromJSON
         0     0% 85.28%      91282  1.14%  github.com/voedger/voedger/pkg/istructsmem.loadRow
         0     0% 85.28%      64089   0.8%  github.com/voedger/voedger/pkg/istructsmem.newUpdateRec
         0     0% 85.28%     509138  6.38%  github.com/voedger/voedger/pkg/itokens-payloads.(*implIAppTokens).ValidateToken
         0     0% 85.28%     509138  6.38%  github.com/voedger/voedger/pkg/itokensjwt.(*JWTSigner).ValidateToken
         0     0% 85.28%     622652  7.81%  github.com/voedger/voedger/pkg/parser.(*SchemaAST).Iterate
         0     0% 85.28%     229379  2.88%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).fields
         0     0% 85.28%      65537  0.82%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).getTableDefKind
         0     0% 85.28%      65537  0.82%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).getTableInheritanceChain
         0     0% 85.28%      65537  0.82%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).getTableInheritanceChain.func2
         0     0% 85.28%      65537  0.82%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).getTableInheritanceChain.func2.1
         0     0% 85.28%     327684  4.11%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).table
         0     0% 85.28%     294913  3.70%  github.com/voedger/voedger/pkg/parser.(*buildContext).addFieldRefToDef
         0     0% 85.28%     131072  1.64%  github.com/voedger/voedger/pkg/parser.(*buildContext).addFieldToDef
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.(*buildContext).addNestedTableToDef
         0     0% 85.28%     294913  3.70%  github.com/voedger/voedger/pkg/parser.(*buildContext).addTableItems
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.(*buildContext).build
         0     0% 85.28%     196608  2.47%  github.com/voedger/voedger/pkg/parser.(*buildContext).checkReference
         0     0% 85.28%     294913  3.70%  github.com/voedger/voedger/pkg/parser.(*buildContext).fillTable
         0     0% 85.28%     294913  3.70%  github.com/voedger/voedger/pkg/parser.(*buildContext).table
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.(*buildContext).tables
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.(*buildContext).tables.func1
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.BuildAppDefs (inline)
         0     0% 85.28%     327684  4.11%  github.com/voedger/voedger/pkg/parser.MergePackageSchemas (inline)
         0     0% 85.28%     532715  6.68%  github.com/voedger/voedger/pkg/parser.ParseFile
         0     0% 85.28%     327684  4.11%  github.com/voedger/voedger/pkg/parser.analyse
         0     0% 85.28%     327684  4.11%  github.com/voedger/voedger/pkg/parser.analyse.func1
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.buildAppDefs
         0     0% 85.28%     622652  7.81%  github.com/voedger/voedger/pkg/parser.iterate.func1
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.iterateStmt[...]
         0     0% 85.28%     163841  2.05%  github.com/voedger/voedger/pkg/parser.iterateStmt[...].func1
