File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 5:44pm (UTC)
Showing nodes accounting for 5555279, 87.55% of 6345515 total
Dropped 358 nodes (cum <= 31727)
      flat  flat%   sum%        cum   cum%
         0     0% 87.55%      46833  0.74%  github.com/voedger/voedger/pkg/apps/sys/blobber.Provide.func1
         0     0% 87.55%     120151  1.89%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).WatchChannel
         0     0% 87.55%      54067  0.85%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Get
         0     0% 87.55%     211293  3.33%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Put
         0     0% 87.55%     405093  6.38%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).PutBatch
         0     0% 87.55%      52268  0.82%  github.com/voedger/voedger/pkg/istoragecache.(*implCachingAppStorageProvider).AppStorage
         0     0% 87.55%      46804  0.74%  github.com/voedger/voedger/pkg/istorageimpl.(*implIAppStorageProvider).AppStorage
         0     0% 87.55%     194144  3.06%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutPlog
         0     0% 87.55%     117229  1.85%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutWlog
         0     0% 87.55%     111049  1.75%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).ReadPLog
         0     0% 87.55%     155325  2.45%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply
         0     0% 87.55%     155325  2.45%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply2
         0     0% 87.55%      62926  0.99%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).GetSingleton
         0     0% 87.55%      64990  1.02%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).getRecord
         0     0% 87.55%     150047  2.36%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).putRecordsBatch
         0     0% 87.55%      68118  1.07%  github.com/voedger/voedger/pkg/istructsmem.(*appStructsProviderType).AppStructs
         0     0% 87.55%     321750  5.07%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).Get
         0     0% 87.55%     231407  3.65%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).KeyBuilder
         0     0% 87.55%      86914  1.37%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).NewValueBuilder
         0     0% 87.55%     360453  5.68%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).storeViewRecord
         0     0% 87.55%      67752  1.07%  github.com/voedger/voedger/pkg/istructsmem.(*commandFunction).Exec
         0     0% 87.55%     333774  5.26%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).enumRecs
         0     0% 87.55%     219250  3.46%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Build
         0     0% 87.55%      58931  0.93%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Elements
         0     0% 87.55%      65537  1.03%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).EnumElements (inline)
         0     0% 87.55%     126903  2.00%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build
         0     0% 87.55%     126903  2.00%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build.func1
         0     0% 87.55%     208824  3.29%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).forEach
         0     0% 87.55%      87879  1.38%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs.func2.1
         0     0% 87.55%      96640  1.52%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).BuildRawEvent
         0     0% 87.55%     333774  5.26%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).CUDs
         0     0% 87.55%      91520  1.44%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).regenerateIDs
         0     0% 87.55%     271253  4.27%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals
         0     0% 87.55%      43691  0.69%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1.2
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).PutRecordID
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).PutString
         0     0% 87.55%     319488  5.03%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).build
         0     0% 87.55%     117421  1.85%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeToBytes
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey.func1
         0     0% 87.55%      47147  0.74%  github.com/voedger/voedger/pkg/istructsmem.(*recordType).copyFrom (inline)
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs.func1
         0     0% 87.55%      55339  0.87%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).copyFrom
         0     0% 87.55%      98771  1.56%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).loadFromBytes
         0     0% 87.55%     480752  7.58%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setDef
         0     0% 87.55%     381981  6.02%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQName
         0     0% 87.55%      98771  1.56%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQNameID
         0     0% 87.55%      98306  1.55%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validDocument (inline)
         0     0% 87.55%     131074  2.07%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElement
         0     0% 87.55%      65537  1.03%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers.func2
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validObject (inline)
         0     0% 87.55%      49153  0.77%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRecord
         0     0% 87.55%      43691  0.69%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validCUD
         0     0% 87.55%      76460  1.20%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEvent
         0     0% 87.55%      43691  0.69%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEventCUDs
         0     0% 87.55%      32769  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEventObjects
         0     0% 87.55%     131074  2.07%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validObject
         0     0% 87.55%      81921  1.29%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validViewValue
         0     0% 87.55%      99266  1.56%  github.com/voedger/voedger/pkg/istructsmem.(*valueType).Build
         0     0% 87.55%      68486  1.08%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity.func1
         0     0% 87.55%      57976  0.91%  github.com/voedger/voedger/pkg/istructsmem.FillElementFromJSON
         0     0% 87.55%      98771  1.56%  github.com/voedger/voedger/pkg/istructsmem.loadRow
         0     0% 87.55%      47549  0.75%  github.com/voedger/voedger/pkg/istructsmem.newUpdateRec
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.recordKey (inline)
         0     0% 87.55%      43852  0.69%  github.com/voedger/voedger/pkg/istructsmem/internal/utils.SafeWriteBuf
         0     0% 87.55%      32770  0.52%  github.com/voedger/voedger/pkg/istructsmem/internal/utils.WriteByte (inline)
         0     0% 87.55%      43692  0.69%  github.com/voedger/voedger/pkg/istructsmem/internal/utils.WriteUint16 (inline)
         0     0% 87.55%     501189  7.90%  github.com/voedger/voedger/pkg/itokens-payloads.(*implIAppTokens).ValidateToken
         0     0% 87.55%     501189  7.90%  github.com/voedger/voedger/pkg/itokensjwt.(*JWTSigner).ValidateToken
         0     0% 87.55%     327817  5.17%  github.com/voedger/voedger/pkg/parser.(*SchemaAST).Iterate
         0     0% 87.55%      65537  1.03%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).fields
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).getTableDefKind
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).getTableInheritanceChain
         0     0% 87.55%      32768  0.52%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).getTableInheritanceChain.func2
         0     0% 87.55%      98305  1.55%  github.com/voedger/voedger/pkg/parser.(*analyseCtx).table
         0     0% 87.55%     131072  2.07%  github.com/voedger/voedger/pkg/parser.(*buildContext).addFieldRefToDef
         0     0% 87.55%      65644  1.03%  github.com/voedger/voedger/pkg/parser.(*buildContext).addFieldToDef
         0     0% 87.55%      98304  1.55%  github.com/voedger/voedger/pkg/parser.(*buildContext).addNestedTableToDef
         0     0% 87.55%     131180  2.07%  github.com/voedger/voedger/pkg/parser.(*buildContext).addTableItems
         0     0% 87.55%     131181  2.07%  github.com/voedger/voedger/pkg/parser.(*buildContext).build
         0     0% 87.55%      98304  1.55%  github.com/voedger/voedger/pkg/parser.(*buildContext).checkReference
         0     0% 87.55%     229485  3.62%  github.com/voedger/voedger/pkg/parser.(*buildContext).fillTable
         0     0% 87.55%      65537  1.03%  github.com/voedger/voedger/pkg/parser.(*buildContext).fillTable.func1
         0     0% 87.55%     229485  3.62%  github.com/voedger/voedger/pkg/parser.(*buildContext).table
         0     0% 87.55%     131181  2.07%  github.com/voedger/voedger/pkg/parser.(*buildContext).tables
